id,english,russian
AC61379A41B33A244EF23DBA9B7E5847#F360CC60,"""Blue Brain"" cheese","""Blue Brain"" cheese"
BD832818417A1BAA7D1CB3B44BB83A71#F360CC60,"""Blue Brain"" cheese","""Blue Brain"" cheese"
C3BC63CA4C7807721A4EFCB065F0E6B5#F360CC60,"""Blue Brain"" cheese","""Blue Brain"" cheese"
FC6857C1400012D8B081499A45C48A84#F360CC60,"""Blue Brain"" cheese","""Blue Brain"" cheese"
CCD649224270BD0197A9B99CE5FAE565#61824EE1,"""Blue Brain"" cheese piece","""Blue Brain"" cheese piece"
3D1AD13F4952163C4228299DE2EB9961#2F2D91A2,"""Charborg"" award plushie","""Charborg"" наградная плюшевая игрушка"
E92DE73E4FA7CD5CCED6B09D05C7CBB4#8F800B0D,"""Charborg"" award plushie(?)","Наградная плюшевая игрушка(?) ""Charborg"""
357EE9674C93BAD5C48FB092319021D1#69606FFA,"""Cocktail of Peace and Fire"" hot sauce bottle","""Cocktail of Peace and Fire"" hot sauce bottle"
CF7B5C5B4563423418760E897ADA5D38#3368B3D2,"""Fisherman's treasure""","""Fisherman's treasure"""
DC5B0C954C9B6B2BC9AC8087EE113310#3368B3D2,"""Fisherman's treasure""","""Сокровище рыбака"""
0F667B284FD41847BC94A6B50176187C#9D99BDE2,"""Gooseworx"" award plushie","""Gooseworx"" award plushie"
3D9D95BB49483DB70F4AB0A07BDA9544#9D99BDE2,"""Gooseworx"" award plushie","""Gooseworx"" award plushie"
348CAEBA458FEE69E96951B6333D3F75#D0230319,"""I'm sure we're just hearing shapes in the clouds, but yeeg. This is beginning to creep me out. None of this lines up with any natural phenomena we know about, so at least we'll learn something. Hopefully something not terrible. Man.","""Я уверен, что мы просто прислушиваемся к миражам, но блин. Это начинает меня напрягать. Ничего из этого не совпадает с какими-либо природными явлениями, известными науке, так что хоть что-то новое мы и узнаем. Желательно, ничего ужасного. Мда."
D1EF5E51449296AC1F21919842FE182E#8086D086,"""IGP"" award plushie. The legend. Pushed Voices of the Void to the masses.","""IGP"" наградная плюшевая игрушка. Легенда. Несет Голоса из Пустоты в массы."
8EF95A294E6402580E3D28B54D85191F#47BBC9C1,"""Jolly Wangcore"" award plushie","Наградная плюшевая игрушка ""Jolly Wangcore"""
D3CC9D214B82CB68DC1CD6A2E216D5E0#47BBC9C1,"""Jolly Wangcore"" award plushie","""Jolly Wangcore"" award plushie"
521606C54560C57B41503585DD89019A#82FDE82B,"""Keljoy"" plush","Плюшевый ""Келджой"""
B5B4B3B14045992B3EA4368F67706750#FBA3C1C8,"""Kerfur Omega"" documents binder","""Kerfur Omega"" documents binder"
1AB7C0374FE4CFF7448BAC807BEC5A38#0851DFAD,"""Kerfur"" blue","""Kerfur"" blue"
1FDCBA844EF8F381D3619197B13E02AE#0851DFAD,"""Kerfur"" blue","""Kerfur"" blue"
23BFB3AA4B356AD7A83DD38C4A7F7C42#0851DFAD,"""Kerfur"" blue","""Керфур"" синий"
2698C71B4FB7AB5F448BB1A5D6C6071F#0851DFAD,"""Kerfur"" blue","""Kerfur"" blue"
45159A13475F0463F3DDB7B1D9F183A0#0851DFAD,"""Kerfur"" blue","""Kerfur"" blue"
5B878090429D2EFF0CD786B49B6B7645#0851DFAD,"""Kerfur"" blue","""Kerfur"" blue"
70650ED54C1681351CB8BEBB734863A9#0851DFAD,"""Kerfur"" blue","""Kerfur"" blue"
0A1E9D5044200361B49E1DAC0B61A0A8#63B7B843,"""Kerfur"" custom","""Керфур"" пользовательский"
0F8575764A176DBED2C999A3814D055D#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","""Керфур"" - робот-помощник, который следует за вами, составляет вам компанию, чинит сервера базы и радиотелескопов. Может управляться с компьютера вручную"
27C253794723B049BB415892138F328F#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» - робот-помощник, который следует за вами по пятам, составляет вам компанию, может чинить спутниковые серверы"
2FAC12E44CEEB57F87D557AE7B942065#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers"
4ABF488C41541F119D6202B9E5D03C3E#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","«Керфур» - робот-помощник, который следует за вами по пятам, составляет вам компанию, может чинить спутниковые серверы"
7F0152B646425919191D82A7904C542C#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers"
8485315F4AA9862BF8D781931DA8DE5B#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers"
AA90788D4D5BA28BCA1CD9956F413B42#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers"
C01AFFA941F37DE43023E5AE2EF924A5#CBDD7D32,"""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers","""Kerfur"" is a robot helper, follows you around, makes you company, can fix satellite servers"
095E496A405E38983EE20097350785E6#29D3EF7A,"""Kerfur"" orange++","""Керфур"" оранжевый++"
E722609C4539BBC1E5A1BA9D85B4FAF5#29D3EF7A,"""Kerfur"" orange++","""Kerfur"" orange++"
DDA5BD5B46ABEC48C48C63B7DE270C3B#307BE90E,"""Kerfur"" pink","""Керфур"" розовый"
B40EFC8C4DCEF80B03C760B70FF5B21C#223775C4,"""Kerfur"" red","""Керфур"" красный"
6A2E489D444EE3405E36718DD87FEACE#8E5CEE57,"""Kerfur-Omega"" complete manual","""Керфур Омега"" полная инструкция"
A7DDC56F47F498D6392185ACA003226E#8E5CEE57,"""Kerfur-Omega"" complete manual","""Kerfur-Omega"" complete manual"
E9F656474C777A00A0568595F54F8F7B#D69A0FEE,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time","""Индивидуальный Рацион Питания"" хватит, чтобы держать себя в форме долгое время"
0A3466034B4E522234842DB8EC6BE6EC#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
0B75492B4A7F4BE23FA20BB4526DA35A#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
1377209D41C7C75E72DC6DBF4B183810#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
153B533445C630F78F97EA99386E2BAD#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Индивидуальный Рацион Питания"", которого достаточно, чтобы продержаться в течение длительного времени."
1B49250145EA3D8918D32CB1F8803E61#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
2188A7154091D3CAF9F220ADC8B8027C#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
23DA955340E73F1964311C874C7511EC#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
29FD8C3D4BDD20479F0C13A66A29CC4D#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
323F1ED04384ED04BEFB59921231A0E5#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
3247CDBF40A3BD3B2298C691B2BDA88A#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
33E9C1F24361C32A83F9C398EAF7AFB5#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
3441EA7842EB061A178A18946E18DE3F#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
4037B4EA42AAEE51260FE9A4A101D3A5#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
4ACB2A3A4248E3F705BA3BA6CE5C79F0#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
54628D8B48BC8698E71F029C45189EEB#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
547CF34D4FCC4C2B0C959D834D60A630#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
5C8D37C048A6426B300575AA44CC4D4C#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
5F0455C546506FCD28E0DAB311E51D46#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
6560CF804BB8C699EC6A29B41AC13469#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
659261B54E393B5B3AE7FD9406744516#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
664C1E8248251620FB2F9687B74A7569#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
674624FC45C3B5CADF6AA2A915488937#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
6A9E8028426854E6C3B851BC9EE55109#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
72951D3247371825487677B46E2DF617#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
74AD3AD245F5F0017FF0068D0262DA77#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
7672FCC746F3C1B60890F0A153661D7D#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
7727CC534F45F2A7A149ECB0477BBB31#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
78AEFB3946A9FE3EB9C29585F5C45E13#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
8033352C430FE07608D348B4306901D9#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
81168E25430EBB0F389EB6BEA985EC29#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
82EB4B1942E2935B7DCD8797AEDAE3B5#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
893CAA684E2F1CB06F2907AC44EED397#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
8CEEA5A1460AD4CF8EB52BB511E52B3B#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
8D20FD814E10A69E6BA08FA4F475BB0E#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
919B9BF14A73451C78247CA0E1B30280#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
95061A384B1BCB2B51FDF9B8DC83735E#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
96CE9509447451477FBB9E956CEC41DC#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
97B9D278409B11E3785E84B0D9A6921C#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
A4C721224D4D31E0CA76E7B288D2F90B#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
AEF52F6B4314355AE5B1DCA4E2DDAAE8#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
B84246FC451205E1A470808C29586E79#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
BB9085BF4CF15C77216D1F80571BA733#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
C18294564AAC00DA0767A6B2E9D735ED#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
C18B0EA54A3D7F4702F7DD8C500482F4#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
C2023FA748DA853A92E9F6A1BC39F410#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
C960881E4B17B74EB1ABC58DBE2E6002#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
CBA14E2144EDE2C37E0CC695F8F6586D#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
D947D13D4D31570BDED2A2BFD42D004A#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
DB00C6764345D7F1FB25FDA499733A08#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
DC3BB12349BBE8DE0CFC2292544E2C5F#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
DF973F3341D0AC5F5684F897FBD971AD#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
E10440824A9E008C226D88A439B891E8#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
E1197911460A2FF2116BEC854113266A#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
E364B7F24E3E87166432EC9A269D03DE#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
EE7CDAF2497170297F63B896840C7685#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
F8EB5C6B42CED120FFB823A9A0EB291C#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
FA989DBA40F974A4301ED2BB0FFCDC2F#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
FC6203F04E62957EE28F0DAC2138F966#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
FF70D1DB4988E6B92DA26A8B8D94B026#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","""Meal Ready to Eat"" enough to sustain yourself for a long period of time."
D5036F764F28863AB919938593D8E5FA#16B902D8,"""Meter"" ruler","""Метровка"" линейка"
20D994674338D6CD79AEFAB1B744CA34#43D2E148,"""Minerva"" award plushie","""Minerva"" award plushie"
2DDEC1A04CFA35453550E88F59961313#43D2E148,"""Minerva"" award plushie","""Minerva"" award plushie"
6F8B6B984982527004571F93728EDCEB#DB0BD917,"""MonikaCinnyRoll"" award plushie","""MonikaCinnyRoll"" award plushie"
C3FC4A4540A03816273F03B0355F99D3#8FCE8D9A,"""Out Of Order"" sign","""Out Of Order"" sign"
EA9FE8A64C1742454D7B509088018012#8FCE8D9A,"""Out Of Order"" sign","Табличка ""Не Работает"""
3581BAC64E342B88D7273382AE9D892D#7CC9521C,"""Sam"" award plushie","""Sam"" award plushie"
A017C0C947E31E06D141FA822E5503C2#C8947A33,"""Spazmatic Banana"" award plushie","""Spazmatic Banana"" award plushie"
8A607A7149BA8A617A435AB67E57462F#7616385C,"""Svenskfisk""","""Svenskfisk"""
19EDED934BD47FA9B202C3991B8A1003#82D6403C,"""The Best senate of all times""","""Лучший сенат всех времен"""
0EABE9374E2D0FE82C089DB5C4E9E367#E9D7D923,"""The Librarian"" secret award plushie(?)","""The Librarian"" секретная наградная игрушка(?)"
